(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(5)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1382)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1386)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1389)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1390)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1392)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1394)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1403)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1408)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1409)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1418)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1419)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1421)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1429)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1434)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1435)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1441)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1446)), {C=0.0011282051282051281, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1448)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1450)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1453)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1454)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1458)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1460)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1464)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1471)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1472)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1473)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1478)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1479)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1480)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1482)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1484)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1485)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1487)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1491)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1494)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1496)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1501)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1502)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1509)), {C=0.0010256410256410256, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1511)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1513)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1516)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1518)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1533)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1536)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1547)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1548)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1552)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1554)), {C=0.0007179487179487179, S=0.0006808676198813345}
