(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1436)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1440)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1452)), {C=0.001024485196188915, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1454)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1455)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1461)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1463)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1465)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1467)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1470)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1473)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1478)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1480)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1483)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1487)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1488)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1494)), {C=0.0009220366765700236, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1497)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1498)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1499)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1500)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1502)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1504)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1505)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1510)), {C=0.001024485196188915, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1512)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1515)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1516)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1522)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1533)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1536)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1537)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1538)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1543)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1546)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1549)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1553)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1554)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1556)), {C=0.0005122425980944575, S=0.00048633401420095323}
