(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(2)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1316)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1319)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1320)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1322)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1325)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1331)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1336)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1338)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1339)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1344)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1346)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1354)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1359)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1360)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1361)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1362)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1364)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1365)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1366)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1370)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1377)), {C=0.0011154489682097045, S=0.0009726680284019065}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1378)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1382)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1383)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1384)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1387)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1388)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1392)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1394)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1398)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1399)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1402)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1404)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1407)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1410)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1411)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1412)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1414)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1421)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1422)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1426)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1427)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1428)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1429)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1435)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1436)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1441)), {C=0.0013385387618516451, S=0.0011672016340822876}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1443)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1445)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1446)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1447)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1448)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1453)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1456)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1459)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1460)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1463)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1464)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1467)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1470)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1472)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1473)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1475)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1476)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1484)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1487)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1489)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1492)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1494)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1496)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1497)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1503)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1504)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1505)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1506)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1510)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1516)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1519)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1520)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1523)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1525)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1526)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1531)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1538)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1546)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1552)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1554)), {C=0.0005577244841048522, S=0.00048633401420095323}
