(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1503)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1505)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1506)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1516)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1519)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1521)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1525)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1526)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1530)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1531)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1533)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1537)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1539)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1540)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1543)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1552)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1554)), {C=0.000641917192682144, S=0.0005836008170411438}
