(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1430)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1431)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1434)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1437)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1438)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1439)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1441)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1443)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1447)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1449)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1453)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1454)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1456)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1460)), {C=0.0010664391596459423, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1462)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1463)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1464)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1472)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1478)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1489)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1490)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1491)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1493)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1494)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1495)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1502)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1506)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1512)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1514)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1518)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1520)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1521)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1522)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1529)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1530)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1531)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1534)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1543)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1545)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1547)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1549)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1550)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1553)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1558)), {C=0.0005332195798229711, S=0.00048633401420095323}
