(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(7)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1205)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1208)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1209)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1219)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1220)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1222)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1223)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1224)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1227)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1235)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1237)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1240)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1241)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1243)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1245)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1246)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1251)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1258)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1263)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1268)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1270)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1273)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1275)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1276)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1278)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1279)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1282)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1287)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1288)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1291)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1292)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1295)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1298)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1299)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1302)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1303)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1307)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1311)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1316)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1320)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1328)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1329)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1333)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1335)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1336)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1339)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1349)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1350)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1352)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1353)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1355)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1360)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1362)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1365)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1366)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1368)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1372)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1373)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1377)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1378)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1379)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1380)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1383)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1384)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1389)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1390)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1392)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1396)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1398)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1399)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1401)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1403)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1405)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1407)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1409)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1410)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1411)), {C=0.0011312217194570137, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1412)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1413)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1414)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1424)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1425)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1429)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1433)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1434)), {C=0.0013574660633484162, S=0.0011672016340822876}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1435)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1436)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1438)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1439)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1440)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1441)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1442)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1445)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1446)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1447)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1448)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1453)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1454)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1456)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1457)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1459)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1461)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1467)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1471)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1473)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1474)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1476)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1479)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1482)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1485)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1491)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1493)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1495)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1500)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1503)), {C=0.0012443438914027148, S=0.001069934831242097}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1504)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1505)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1510)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1511)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1517)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1518)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1522)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1528)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1529)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1532)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1534)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1536)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1540)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1547)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1553)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1557)), {C=0.0007918552036199094, S=0.0006808676198813345}
