(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1409)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1412)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1420)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1423)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1431)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1435)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1436)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1439)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1444)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1446)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1451)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1453)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1454)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1466)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1467)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1468)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1469)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1471)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1472)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1477)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1487)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1491)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1495)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1496)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1501)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1506)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1523)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1524)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1526)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1527)), {C=0.001029512697323267, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1529)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1533)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1535)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1538)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1542)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1547)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1548)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1553)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1555)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1558)), {C=0.0005719514985129262, S=0.00048633401420095323}
