(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(3)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1478)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1479)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1480)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1482)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1485)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1486)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1487)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1490)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1491)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1493)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1494)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1495)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1498)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1500)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1502)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1503)), {C=0.0014579030494472117, S=0.0011672016340822876}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1509)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1511)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1513)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1518)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1523)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1528)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1529)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1533)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1534)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1536)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1541)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1546)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1547)), {C=0.0006074596039363383, S=0.00048633401420095323}
