(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(8)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1378)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1380)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1383)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1387)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1392)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1394)), {C=0.002075119319360863, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1398)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1399)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1401)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1402)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1405)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1412)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1413)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1421)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1422)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1425)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1426)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1428)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1429)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1430)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1431)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1432)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1435)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1436)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1438)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1441)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1442)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1443)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1445)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1447)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1448)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1452)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1453)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1454)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1455)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1460)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1463)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1466)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1467)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1468)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1472)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1473)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1476)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1482)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1487)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1490)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1492)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1494)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1495)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1496)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1499)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1501)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1506)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1510)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1516)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1519)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1525)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1527)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1528)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1533)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1537)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1540)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1546)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1554)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1555)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1556)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1557)), {C=0.0012450715916165179, S=0.0005836008170411438}
