(member card(Silver)) --> (buy(2)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1288)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1289)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1290)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1293)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1295)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1298)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1309)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1310)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1312)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1313)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1314)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1316)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1317)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1318)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1320)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1321)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1323)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1330)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1333)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1334)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1335)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1336)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1340)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1341)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1343)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1346)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1348)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1349)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1350)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1351)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1353)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1355)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1356)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1362)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1363)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1364)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1371)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1374)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1377)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1378)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1380)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1381)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1383)), {C=0.012499999999999999, S=0.0011672016340822876}
(member card(Silver)) --> (buy(1384)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1385)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1387)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1392)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1393)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1395)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1401)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1403)), {C=0.013541666666666667, S=0.0012644684369224784}
(member card(Silver)) --> (buy(1406)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1407)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1411)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1413)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1415)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1416)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(1418)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1421)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1422)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1423)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1425)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1426)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1428)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1433)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1434)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1436)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1438)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1439)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1440)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1443)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1445)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1449)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1450)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1452)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1453)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1454)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1457)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1458)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1459)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1465)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1470)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1475)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1481)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1483)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1485)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1487)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1488)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1491)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(1493)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1500)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1504)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1506)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1512)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1513)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1515)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1516)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1518)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1521)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1524)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1525)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1526)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1528)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1530)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1531)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1533)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1534)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1535)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1536)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1537)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1539)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1541)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1542)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1545)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1546)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1548)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1549)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1556)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1558)), {C=0.007291666666666666, S=0.0006808676198813345}
