(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1391)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1392)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1394)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1396)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1398)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1401)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1402)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1403)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1408)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1410)), {C=0.0011678522136107867, S=0.001069934831242097}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1414)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1420)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1424)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1426)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1429)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1430)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1433)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1436)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1437)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1441)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1445)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1446)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1448)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1450)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1452)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1453)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1454)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1455)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1463)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1471)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1476)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1480)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1482)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1485)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1489)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1491)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1498)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1499)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1502)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1504)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1505)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1508)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1517)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1522)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1533)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1534)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1536)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1540)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1543)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1545)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1546)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1547)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1557)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1558)), {C=0.0005308419152776304, S=0.00048633401420095323}
