(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(2)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1403)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0010559662090813095, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1409)), {C=0.0010559662090813095, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1412)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1413)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1414)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1424)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1425)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1428)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1433)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1435)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1437)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1438)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1439)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1441)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1454)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1456)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1457)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1461)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1462)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1470)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1473)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1482)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1485)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1490)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1491)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1496)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1501)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1510)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1517)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1532)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1534)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1539)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1541)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1543)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1545)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1546)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1547)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1553)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1557)), {C=0.0005279831045406548, S=0.00048633401420095323}
