(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(5)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(982)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(995)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(998)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1003)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1004)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1005)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1014)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1018)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1035)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1037)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1044)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1060)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1061)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1073)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1083)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1096)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1107)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1136)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1192)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1219)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1226)), {C=0.0008331597583836702, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1254)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1270)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1275)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1309)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1313)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1316)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1324)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1372)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1384)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1391)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1392)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1398)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1407)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1411)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1423)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1441)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1446)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1451)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1454)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1459)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1473)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1488)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1494)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1503)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1522)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1532)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1534)), {C=0.0006248698187877526, S=0.0005836008170411438}
