(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(6)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(942)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(943)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(945)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(946)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(949)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(952)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(954)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(956)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(959)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(960)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(963)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(965)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(966)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(967)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(968)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(970)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(971)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(972)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(973)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(974)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(975)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(976)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(977)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(978)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(979)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(980)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(984)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(986)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(987)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(988)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(989)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(993)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(996)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1002)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1003)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1005)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1006)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1007)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1012)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1013)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1014)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1016)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1017)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1018)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1019)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1020)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1022)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1023)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1024)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1025)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1029)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1036)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1037)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1044)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1045)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1046)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1049)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1050)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1053)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1054)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1055)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1056)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1057)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1058)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1059)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1064)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1065)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1066)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1067)), {C=0.0015703869882220975, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1068)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1069)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1070)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1071)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1072)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1074)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1078)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1080)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1083)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1088)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1091)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1092)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1095)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1096)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1102)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1103)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1104)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1106)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1107)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1109)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1119)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1120)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1121)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1123)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1124)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1128)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1129)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1131)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1134)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1138)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1142)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1143)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1144)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1145)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1146)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1148)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1150)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1151)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1152)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1153)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1155)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1156)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1157)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1159)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1161)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1162)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1163)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1164)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1165)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1166)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1169)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1174)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1175)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1179)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1185)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1186)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1189)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1190)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1191)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1197)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1198)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1199)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1200)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1204)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1208)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1210)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1216)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1218)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1220)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1225)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1228)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1230)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1231)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1237)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1240)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1243)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1246)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1247)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1254)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1258)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1262)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1264)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1265)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1266)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1267)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1278)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1279)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1281)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1284)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1287)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1288)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1291)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1293)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1295)), {C=0.001346045989904655, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1296)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1298)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1300)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1305)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1308)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1311)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1315)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1322)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1328)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1333)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1335)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1346)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1347)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1348)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1351)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1352)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1353)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1355)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1357)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1358)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1360)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1364)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1365)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1366)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1368)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1371)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1375)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1377)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1378)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1379)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1380)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1383)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1384)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1387)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1388)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1389)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1390)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1391)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1392)), {C=0.001346045989904655, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1394)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1395)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1396)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1399)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1401)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1402)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1403)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1404)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1405)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1407)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1408)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1412)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1413)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1415)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1417)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1420)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1422)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1424)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1425)), {C=0.0007851934941110487, S=0.0006808676198813345}
