(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(12)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(865)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(870)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(872)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(882)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(894)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(897)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(906)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(923)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(933)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(951)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(958)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(961)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(967)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(969)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(982)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(984)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(988)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(991)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(992)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(996)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(998)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1000)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1003)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1024)), {C=0.001014455997971088, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1054)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1070)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1078)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1084)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1100)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1101)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1104)), {C=0.001141262997717474, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1136)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1160)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1202)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1214)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1224)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1234)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1259)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1265)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1272)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1275)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1281)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1289)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1319)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1320)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1326)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1332)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1336)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1374)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1377)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1383)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1397)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1401)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1408)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1410)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1425)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1434)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1437)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1466)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1467)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1470)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1477)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1526)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1528)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1530)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1553)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1558)), {C=0.0008876489982247019, S=0.0006808676198813345}
