(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(2)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1470)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1472)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1473)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1488)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1489)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1490)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1492)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1493)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1494)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1496)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1501)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1506)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1509)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1510)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1520)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1521)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1523)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1525)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1526)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1527)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1528)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1531)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1538)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1539)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1543)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1546)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1548)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1549)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1553)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1554)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1556)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1557)), {C=0.0008023842274186153, S=0.0006808676198813345}
