(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(4)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1352)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1356)), {C=0.0011841326228537597, S=0.0009726680284019065}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1358)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1360)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1362)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1367)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1368)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1375)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1377)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1378)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1380)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1384)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1385)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1388)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1395)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1396)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1398)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1407)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1409)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1411)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1412)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1413)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1417)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1418)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1419)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1420)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1423)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1429)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1432)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1438)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1441)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1447)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1449)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1451)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1452)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1455)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1458)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1459)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1462)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1463)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1467)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1468)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1469)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1473)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1474)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1475)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1477)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1479)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1482)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1483)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1485)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1488)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1489)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1491)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1494)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1495)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1499)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1506)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1507)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1508)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1516)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1520)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1540)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1541)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1556)), {C=0.0005920663114268799, S=0.00048633401420095323}
